data_set_id	probe_id	probe_name	gene_id	gene_acronym
1304	103086	RP_Baylor_103086	21802	Trhr
1305	103087	RP_Baylor_103087	21823	Trpc4
1306	103087	RP_Baylor_103087	21823	Trpc4
1337	102677	RP_Baylor_102677	12345	Cdh3
1338	102677	RP_Baylor_102677	12345	Cdh3
1349	103270	RP_Baylor_103270	45099	Elf2
1350	103270	RP_Baylor_103270	45099	Elf2
1351	103149	RP_Baylor_103149	26127	Esrra
1352	103149	RP_Baylor_103149	26127	Esrra
1353	102765	RP_Baylor_102765	13788	Etv6
1354	102765	RP_Baylor_102765	13788	Etv6
1357	253913	RP_Baylor_253913	14356	Gfap
1358	253913	RP_Baylor_253913	14356	Gfap
1363	103371	RP_Baylor_103371	86272	Grp
1364	103371	RP_Baylor_103371	86272	Grp
1365	102867	RP_Baylor_102867	16216	Itsn1
1366	102867	RP_Baylor_102867	16216	Itsn1
1369	102886	RP_Baylor_102886	16644	Lhx5
1370	102886	RP_Baylor_102886	16644	Lhx5
1373	103332	RP_Baylor_103332	73752	Lmo1
1374	103332	RP_Baylor_103332	73752	Lmo1
1387	102924	RP_Baylor_102924	17775	Nes
1393	103299	RP_Baylor_103299	54245	Ntf5
1394	103299	RP_Baylor_103299	54245	Ntf5
1401	102967	RP_Baylor_102967	18535	Pknox1
1402	102967	RP_Baylor_102967	18535	Pknox1
1403	102970	RP_Baylor_102970	18610	Plxna3
1404	102970	RP_Baylor_102970	18610	Plxna3
1405	6869	RP_040324_01_A01	18885	Prnp
1406	6869	RP_040324_01_A01	18885	Prnp
1418	103036	RP_Baylor_103036	20186	Shh
1419	103036	RP_Baylor_103036	20186	Shh
1422	103048	RP_Baylor_103048	20444	Sox9
1424	103065	RP_Baylor_103065	21176	Tcf7l1
1425	103065	RP_Baylor_103065	21176	Tcf7l1
1431	103088	RP_Baylor_103088	21841	Tsc2
1435	103095	RP_Baylor_103095	21983	Ucn
1436	103095	RP_Baylor_103095	21983	Ucn
1444	103116	RP_Baylor_103116	22174	Wnt4
1445	103116	RP_Baylor_103116	22174	Wnt4
1450	102732	RP_Baylor_102732	13174	Dlx5
1451	102732	RP_Baylor_102732	13174	Dlx5
1464	7011	RP_040420_01_D05	54669	Tsc22d4
1465	7011	RP_040420_01_D05	54669	Tsc22d4
1481	103389	RP_Baylor_103389	87790	Dkk4
1482	102730	RP_Baylor_102730	13171	Dlx2
1483	102730	RP_Baylor_102730	13171	Dlx2
