row_num,gene_id,ensembl_gene_id,gene_symbol,entrez_id
10821,80663,"ENSG00000018869","ZNF582",147948
10822,57260,"ENSG00000121104","FAM117A",81558
10823,9309,"ENSG00000148834","GSTO1",9446
10824,807,"ENSG00000179218","CALR",811
10825,40726,"ENSG00000198732","SMOC1",64093
10826,3554,"ENSG00000180871","CXCR2",3579
10827,55644,"ENSG00000165923","AGBL2",79841
10828,78837,"ENSG00000170627","GTSF1",121355
10829,9056,"ENSG00000145623","OSMR",9180
10830,9285,"ENSG00000113196","HAND1",9421
10831,7979,"ENSG00000136738","STAM",8027
10832,9964,"ENSG00000163466","ARPC2",10109
10833,79497,"ENSG00000144559","TAMM41",132001
10834,7443,"ENSG00000165392","WRN",7486
10835,5760,"ENSG00000142949","PTPRF",5792
10836,1601,"ENSG00000167657","DAPK3",1613
10837,5854,"ENSG00000179262","RAD23A",5886
10838,83619,"ENSG00000167100","SAMD14",201191
10839,78742,"ENSG00000065621","GSTO2",119391
10840,7342,"ENSG00000140740","UQCRC2",7385
10841,40577,"ENSG00000198046","ZNF667",63934
10842,22651,"ENSG00000089169","RPH3A",22895
10843,34228,"ENSG00000140365","COMMD4",54939
10844,29655,"ENSG00000143156","NME7",29922
10845,10990,"ENSG00000112276","BVES",11149
10846,1799,"ENSG00000091138","SLC26A3",1811
